TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,248.437,85,98
-1,251.0,73,183
-1,253.562,71,191
-1,256.125,68,191
-1,258.687,61,191
-1,261.437,61,191
-1,264.187,64,191
-1,266.687,63,183
-1,269.812,62,183
-1,272.312,64,183
-1,275.062,60,191
-1,277.75,65,191
-1,280.5,192,191
-1,282.812,195,199
-1,285.375,197,199
-1,288.125,192,199
-1,290.375,197,199
-1,292.562,196,199
-1,294.75,196,199
-1,297.0,195,199
-1,299.187,197,199
-1,301.437,199,199
-1,303.625,200,199
-1,305.812,202,199
-1,308.062,206,199
-1,310.25,208,199
-1,312.812,210,199
-1,315.375,215,199
-1,318.125,198,191
-1,320.812,189,191
-1,323.562,169,191
-1,326.312,157,191
-1,329.062,159,191
-1,332.375,169,191
-1,340.937,163,98
-1,344.062,154,167
-1,347.187,141,167
-1,350.25,137,167
-1,353.375,136,175
-1,355.937,132,175
-1,359.25,131,175
1504844544956,2.0,126,191
-1,4.75,126,183
-1,7.312,114,199
-1,12.187,69,191
-1,15.125,47,167
-1,17.875,43,175
-1,20.625,50,175
-1,23.937,47,175
-1,27.375,48,167
-1,29.937,39,191
-1,32.875,44,191
-1,40.187,24,98
-1,51.437,18,70
-1,54.0,20,183
-1,56.75,19,191
-1,59.5,22,199
-1,61.937,19,199
-1,64.5,19,199
-1,68.0,24,167
-1,71.062,20,183
-1,79.5,25,84
-1,83.687,12,167
-1,96.25,19,40
-1,102.75,54,112
-1,105.5,56,191
-1,108.25,59,175
-1,110.937,55,191
-1,114.25,52,183
-1,117.687,68,159
-1,125.75,44,98
-1,134.687,66,84
-1,137.25,65,191
-1,140.0,69,191
-1,142.562,66,199
-1,145.312,74,191
-1,147.875,73,191
-1,150.625,74,191
-1,153.375,95,191
-1,166.25,1,30
-1,178.937,148,35
-1,181.5,154,191
-1,184.187,145,199
-1,187.625,216,175
-1,190.75,176,183
-1,201.25,250,70
-1,203.812,339,191
-1,206.375,339,191
-1,209.125,344,191
-1,211.687,350,191
-1,214.437,350,191
-1,217.0,349,191
-1,219.562,354,191
-1,222.5,362,191
-1,225.25,366,191
-1,228.0,376,191
-1,230.812,384,191
-1,233.562,358,191
-1,236.312,336,191
-1,239.062,316,191
-1,241.875,298,191
-1,248.625,74,112
-1,251.187,70,183
-1,253.75,69,183
-1,256.312,67,191
-1,258.875,64,191
-1,261.437,65,191
-1,264.312,61,183
-1,266.875,62,183
-1,269.437,62,183
-1,272.125,60,191
-1,274.875,60,183
-1,277.375,64,183
-1,280.125,176,167
-1,282.5,196,199
-1,284.625,194,199
-1,287.0,194,199
-1,289.25,194,199
-1,291.437,194,199
-1,293.687,193,199
-1,295.875,195,199
-1,298.062,195,199
-1,300.312,198,199
-1,302.5,199,199
-1,305.125,199,199
-1,307.5,203,199
-1,309.5,207,199
-1,311.687,207,199
-1,313.875,211,199
-1,316.437,212,191
-1,319.187,198,199
-1,321.937,178,199
-1,324.5,163,199
-1,327.062,154,191
-1,329.625,157,191
-1,333.812,173,159
-1,342.062,160,98
-1,345.187,142,167
-1,348.25,144,183
-1,350.812,133,183
-1,354.125,136,183
-1,357.062,132,175
1504844544956,0.125,126,175
-1,2.875,130,183
-1,5.625,119,191
-1,8.0,109,199
-1,16.25,44,98
-1,19.562,45,175
-1,22.625,43,175
-1,29.375,43,112
-1,32.5,37,191
-1,39.625,24,98
-1,51.062,18,70
-1,53.812,20,183
-1,56.375,17,191
-1,59.125,17,199
-1,61.562,15,199
-1,63.75,15,199
-1,66.312,15,191
-1,74.0,19,98
-1,82.062,12,98
-1,94.625,15,45
-1,102.625,50,98
-1,105.125,53,191
-1,108.25,53,183
-1,110.937,52,191
-1,114.25,57,183
-1,117.687,67,167
-1,125.75,42,98
-1,132.0,60,159
-1,134.562,65,191
-1,137.125,66,183
-1,139.625,70,191
-1,142.187,66,191
-1,144.75,69,191
-1,147.312,69,199
-1,149.875,70,191
